Home_Team,Opponent,URL,HT_Pts,Opp_Pts,FG,FGA,FG_Pct,Three_Pt,Three_Pt_Attempts,Three_Pt_Pct,Free_Throws,Free_Throw_Attempts,Free_Throw_Pct,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls
akron,Clemson,clemson,69,72,23,53,0.434,11,29,0.379,12,15,0.8,2,22,11,6,1,15,24
akron,Illinois State,illinois-state,68,73,21,65,0.323,7,41,0.171,19,24,0.792,7,31,9,6,1,4,18
akron,St. Bonaventure,st-bonaventure,61,49,18,49,0.367,10,23,0.435,15,21,0.714,9,30,13,2,3,10,12
akron,Alabama State,alabama-state,86,54,34,60,0.567,12,32,0.375,6,13,0.462,11,36,20,6,6,16,17
akron,Detroit,detroit-mercy,71,59,24,56,0.429,8,24,0.333,15,22,0.682,8,40,18,2,6,13,16
akron,Purdue-Fort Wayne,ipfw,65,68,21,64,0.328,12,37,0.324,11,16,0.688,8,31,8,5,1,11,18
akron,Marshall,marshall,74,75,26,56,0.464,11,28,0.393,11,12,0.917,6,24,11,3,1,15,14
akron,Tennessee State,tennessee-state,82,60,26,54,0.481,13,29,0.448,17,26,0.654,7,33,16,6,1,16,18
akron,Nevada,nevada,62,68,23,64,0.359,10,28,0.357,6,8,0.75,15,35,13,6,2,13,23
akron,Carnegie Mellon,#N/A,82,55,31,63,0.492,11,30,0.367,9,19,0.474,12,38,17,5,4,7,13
akron,Western Michigan,western-michigan,56,48,17,61,0.279,6,31,0.194,16,23,0.696,15,43,9,8,6,11,14
akron,Central Michigan,central-michigan,86,88,33,75,0.44,10,35,0.286,10,13,0.769,12,37,12,4,3,7,17
akron,Northern Illinois,northern-illinois,56,73,17,50,0.34,7,31,0.226,15,18,0.833,4,23,11,4,0,9,16
akron,Eastern Michigan,eastern-michigan,51,49,19,45,0.422,6,20,0.3,7,12,0.583,5,19,16,10,1,14,14
akron,Miami (OH),miami-oh,61,68,24,61,0.393,6,26,0.231,7,8,0.875,7,29,5,6,2,8,16
akron,Central Michigan,central-michigan,70,67,24,65,0.369,5,27,0.185,17,23,0.739,12,43,12,5,5,13,17
